id,name,overall_score,population_density,median_age_of_population,population,annual_population_growth_rate,female_population,male_population,cost_of_a_one_bedroom_apartment_in_the_city_center,average_salary,income_inequalities,gross_domestic_product__gdp,unemployment_rate,average_price_of_milk__1_liter,vat,number_of_universities,maximum_income_tax,big_mac_index,mcdonald_s_mcmeal_or_combo_meal_price,fuel_price__1_liter,hospital_beds_per_1_000_inhabitants,minimum_income_tax,average_temperature,average_maximum_temperature,humidity_rate,average_minimum_temperature,unesco_world_heritage_landmarks,sports_facilities__stadiums__arenas_with_20_000__seats,cost_of_the_monthly_public_transport_ticket,price_of_a_single_transportation_ticket,number_of_airports,global_cities_index,number_of_billionaires,number_of_public_wi_fi_spots,average_commuting_time,number_of_cinemas,facebook_users,commuter_pain_index,number_of_international_embassies,number_of_international_organizations__headquarters,green_area_per_person,number_of_museums,research_institutions_and_think_tanks,foreign_direct_investment__fdi,number_of_theaters,football_clubs_in_the_top_division,length_of_subway_per_100_000_inhabitants,total_surface,international_population,single_population,number_of_sister_cities,murder_rate,quality_of_living,average_price_of_a_beer__0_5_l,total_length_of_bike_paths,number_of_kindergartens,distance_from_capital,number_of_tourists_per_year,level_of_air_pollution__air_quality_index,percentage_of_slum_population,median_household_income,theft_rate,position_in__the_world_s_best_city_to_live_in__ranking,income_growth,hospitals
1,Tokyo,100,6000 people/km²,44.7 years,13.18 million,0.77%,52%,48%,1 162.14$,2 895.20$,0.25,910.9$ billion,4.6%,1.81$,5%,185,40%,4.08$,6.18$,1.12$,14,5%,16.4°C,19.9°C,61.9%,12.9°C,0,5,89.03$,1.64$,2,4.99,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sacramento,99,4800 people/km²,33.2 years,0.49 million,1.27%,51.3%,48.7%,1 133.33$,2 966.99$,0.38,,11.1%,0.95$,,,,,,,,,17.1°C,24.3°C,67%,9.9°C,,2,105$,2.75$,1,,,550,26 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"San Jose, CA, United States",99,5400 people/km²,35.2 years,0.98 million,,54.6%,45.4%,2 454.16$,5 414.69$,0.38,147$ billion,9.4%,,,,,,,,,,16.1°C,22°C,,10.2°C,,1,70$,2$,1,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Delhi,99,3886 people/km²,,16.79 million,3.8%,46%,54%,242.57$,653.21$,,110$ billion,4.63%,0.73$,12.5%,,,,,,,,25.2°C,31.4°C,,19°C,2,2,13.86$,0.38$,1,1.55,12,,,,5%,72,145,1,,,,,,,,,,,,,,,,,,,,,,,,,
5,Shanghai,97,3600 people/km²,32.26 years,23 million,22.15%,49.56%,50.44%,1 003.19$,1 356.92$,0.44,297$ billion,4.5%,,,,,,,,,,16.55°C,20.2°C,76.8%,,,12,29.49$,0.44$,2,2.73,8,,50.4 minutes,,,,,,1.15m²,17,1,12.6$ billion,,,,,,,,,,,,,,,,,,,,,
6,London,97,5518 people/km²,36.4 years,9.78 million,1.4%,51.1%,48.9%,2 145.13$,2 773.00$,0.35,565$ billion,8.1%,,,,,,,,,,11°C,15.2°C,92.3%,,4,13,166.41$,3.2$,5,5.79,72,,46 minutes,,,,160,,27m²,240,11,,104,6,4.1km,1 572 km²,,,,,,,,,,,,,,,,,
7,Mexico City,96,6000 people/km²,,8.84 million,1.8%,51.1%,48.9%,459.18$,697.49$,,390$ billion,3.7%,0.86$,,,,,,,,,16.5°C,23.4°C,56%,,2,3,16.11$,0.27$,1,2.18,8,,,,35%,108,79,,,,,,,,,,,,,,,,,,,,,,,,,,
8,New York,95,10194 people/km²,35.5 years,8.5 million,0.9%,52.51%,47.49%,3 001.28$,4 370.90$,0.47,1280$ billion,4.3%,,,,,,,,,,12.7°C,17.1°C,68%,8.8°C,1,3,116.5$,2.75$,3,6.35,103,,45.5 minutes,,,,,4,,89,,,,2,4.63km,1 214 km²,37%,65%,11,,,,,,,,,,,,,,
9,Baltimore,95,2970 people/km²,35 years,0.62 million,-0.2%,53.4%,46.6%,1 318.20$,3 251.43$,0.38,138$ billion,11%,,,,,,,,,,15.6°C,19.8°C,68%,,,2,68$,1.7$,1,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Beijing,94,1300 people/km²,,21.5 million,3.7%,49.56%,50.44%,984.82$,1 248.56$,0.22,174$ billion,1.39%,1.57$,17%,71,45%,2.27$,4.42$,,,,12.55°C,17.9°C,56.8%,,3,8,29.49$,0.52$,1,3.05,14,,43.6 minutes,,,95,132,,,23,9,,,,,,,,,,,,,,,,,,,,,,
11,Moscow,94,5000 people/km²,40.7 years,12.6 million,2.5%,,,1 000.36$,1 003.73$,0.42,286.6$ billion,0.4%,1.1$,20%,60,34%,2.7$,,,,,5.8°C,9.6°C,76.7%,2.1°C,3,3,32.78$,0.89$,3,2.7,82,150,,132,16.8%,65,148,,27m²,185,112,,100,,3.7km,2 511 km²,,,77,4.9,,,,,,,,,,,,,
12,Panama City,94,2750 people/km²,27.8 years,1.8 million,,49.5%,50.5%,700$,1 650.00$,0.52,,4.5%,0.94$,7%,10,27%,,8$,,,,20.4°C,24.8°C,,16°C,1,1,33.5$,1.5$,2,,,,,,29.73%,,38,0,,,0,,,,0km,,,,,21.6,93#,,,,,,,,,,,,
13,Mumbai,93,20694 people/km²,28 years,24.4 million,1.11%,45.5%,54.5%,568.14$,785.17$,0.33,173.8$ billion,7.8%,0.76$,,,,,,,,,26.9°C,31.7°C,74%,22.1°C,2,3,7.75$,0.23$,1,1.79,23,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,
